,investor,dealyear,totalUSD,counttotal,greenUSD,countgreen,brownUSD,countbrown,signatory,treatment,country,region,yearest,strategy,capsources,historicfunds,activeyears,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,.406 Ventures,2007,18.73333333,7,0,0,0,0,0,0,US,North America,2005,Venture Capital,Private Equity Funds,563.9,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,.406 Ventures,2008,42.79166667,10,0,0,0,0,0,0,US,North America,2005,Venture Capital,Private Equity Funds,563.9,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,.406 Ventures,2009,15.88333333,7,0,0,0,0,0,0,US,North America,2005,Venture Capital,Private Equity Funds,563.9,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,.406 Ventures,2010,13.625,6,0,0,0,0,0,0,US,North America,2005,Venture Capital,Private Equity Funds,563.9,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,.406 Ventures,2011,17.99166667,7,0,0,0,0,0,0,US,North America,2005,Venture Capital,Private Equity Funds,563.9,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,.406 Ventures,2012,30.98333333,10,0,0,0,0,0,0,US,North America,2005,Venture Capital,Private Equity Funds,563.9,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,.406 Ventures,2013,16.07380952,7,0,0,0,0,0,0,US,North America,2005,Venture Capital,Private Equity Funds,563.9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,.406 Ventures,2014,30.16222222,9,0,0,0,0,0,0,US,North America,2005,Venture Capital,Private Equity Funds,563.9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,.406 Ventures,2015,54.805,15,0,0,0,0,0,0,US,North America,2005,Venture Capital,Private Equity Funds,563.9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,.406 Ventures,2016,69.52666667,16,0,0,0,0,0,0,US,North America,2005,Venture Capital,Private Equity Funds,563.9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,.406 Ventures,2017,55.69333333,11,0,0,0,0,0,0,US,North America,2005,Venture Capital,Private Equity Funds,563.9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,.406 Ventures,2018,59.64444444,14,0,0,0,0,0,0,US,North America,2005,Venture Capital,Private Equity Funds,563.9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,.406 Ventures,2019,29.15,6,0,0,0,0,0,0,US,North America,2005,Venture Capital,Private Equity Funds,563.9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,01 Venture Capital,2013,0,1,0,0,0,0,0,0,China,Asia,NA,Venture Capital,Private Equity Funds,4.74,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,01 Venture Capital,2014,1.5,1,0,0,0,0,0,0,China,Asia,NA,Venture Capital,Private Equity Funds,4.74,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,01 Venture Capital,2015,14.08357143,19,0,0,0,0,0,0,China,Asia,NA,Venture Capital,Private Equity Funds,4.74,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,01 Venture Capital,2016,10.98166667,15,0,0,0,0,0,0,China,Asia,NA,Venture Capital,Private Equity Funds,4.74,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,01 Venture Capital,2017,3.705833333,14,0,0,0,0,0,0,China,Asia,NA,Venture Capital,Private Equity Funds,4.74,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,01 Venture Capital,2018,2.5,6,0,0,0,0,0,0,China,Asia,NA,Venture Capital,Private Equity Funds,4.74,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,01 Venture Capital,2019,0,2,0,0,0,0,0,0,China,Asia,NA,Venture Capital,Private Equity Funds,4.74,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,101 Startups,2004,0.771428571,1,0,0,0,0,0,0,Spain,Europe,2013,Venture Capital,Deal By Deal,,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,101 Startups,2013,0.3575,2,0,0,0,0,0,0,Spain,Europe,2013,Venture Capital,Deal By Deal,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,101 Startups,2014,0.055,1,0,0,0,0,0,0,Spain,Europe,2013,Venture Capital,Deal By Deal,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,101 Startups,2015,0.9,2,0,0,0,0,0,0,Spain,Europe,2013,Venture Capital,Deal By Deal,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,101 Startups,2018,0,1,0,0,0,0,0,0,Spain,Europe,2013,Venture Capital,Deal By Deal,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,10Fund,2015,0,1,0,0,0,0,1,0,China,Asia,2015,Venture Capital,Private Equity Funds,4.23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,10Fund,2016,0.43,8,0,0,0,0,1,0,China,Asia,2015,Venture Capital,Private Equity Funds,4.23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,10Fund,2017,4.150714286,8,0,0,0,0,1,0,China,Asia,2015,Venture Capital,Private Equity Funds,4.23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,10Fund,2018,5.266666667,9,0,0,0,0,1,0,China,Asia,2015,Venture Capital,Private Equity Funds,4.23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,10Fund,2019,5.8,2,0,0,0,0,1,1,China,Asia,2015,Venture Capital,Private Equity Funds,4.23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,10x.Group,2013,0,1,0,0,0,0,0,0,Germany,Europe,2006,Venture Capital,Balance Sheet,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,10x.Group,2015,0.477142857,1,0,0,0,0,0,0,Germany,Europe,2006,Venture Capital,Balance Sheet,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,10x.Group,2016,0.166666667,2,0,0,0,0,0,0,Germany,Europe,2006,Venture Capital,Balance Sheet,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,10x.Group,2017,0.03,2,0.03,1,0,0,0,0,Germany,Europe,2006,Venture Capital,Balance Sheet,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,11.2 Capital,2014,1.26,3,0,0,0,0,0,0,US,North America,2013,Venture Capital,Private Equity Funds,30.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,11.2 Capital,2015,0,3,0,0,0,0,0,0,US,North America,2013,Venture Capital,Private Equity Funds,30.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,11.2 Capital,2016,1.826904762,3,0,0,0,0,0,0,US,North America,2013,Venture Capital,Private Equity Funds,30.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,11.2 Capital,2017,4.535,3,0,0,0,0,0,0,US,North America,2013,Venture Capital,Private Equity Funds,30.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,11.2 Capital,2018,1.825,1,0,0,0,0,0,0,US,North America,2013,Venture Capital,Private Equity Funds,30.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,122 West Ventures,2017,1.329166667,3,0,0,0,0,0,0,US,North America,2017,Venture Capital,Private Equity Funds,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,122 West Ventures,2018,2.661666667,5,0,0,0,0,0,0,US,North America,2017,Venture Capital,Private Equity Funds,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42,122 West Ventures,2019,1.316666667,1,0,0,0,0,0,0,US,North America,2017,Venture Capital,Private Equity Funds,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,123 Investment Managers,2003,4.1875,4,0,0,0,0,0,0,France,Europe,2000,Venture Capital,Private Equity Funds,25,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
